2025-10-16 14:04:56 | INFO | lift | liftFSM started
2025-10-16 14:04:56 | INFO | lift | FSM:current state IDLE
2025-10-16 14:04:56 | INFO | lift | State: IDLE  current floor: 0
2025-10-16 14:04:56 | INFO | lift | State: IDLE (sleep)  Current floor: 0
2025-10-16 14:04:57 | INFO | lift | FSM: set_current_state - current_state = IDLE from: None
2025-10-16 14:04:57 | INFO | lift | liftFSM started
2025-10-16 14:04:57 | INFO | lift | FSM:current state IDLE
2025-10-16 14:04:57 | INFO | lift | State: IDLE  current floor: 0
2025-10-16 14:04:57 | INFO | lift | State: IDLE (sleep)  Current floor: 0
2025-10-16 14:24:57 | INFO | lift | Emergency mode activated.
2025-10-16 14:28:54 | INFO | lift | FSM: set_current_state - current_state = IDLE from: None
2025-10-16 14:28:54 | INFO | lift | liftFSM started
2025-10-16 14:28:54 | INFO | lift | FSM:current state IDLE
2025-10-16 14:28:54 | INFO | lift | State: IDLE  current floor: 0
2025-10-16 14:28:54 | INFO | lift | State: IDLE (sleep)  Current floor: 0
2025-10-16 14:29:42 | INFO | lift | FSM: set_current_state - current_state = IDLE from: None
2025-10-16 14:29:42 | INFO | lift | liftFSM started
2025-10-16 14:29:43 | INFO | lift | FSM:current state IDLE
2025-10-16 14:29:43 | INFO | lift | State: IDLE  current floor: 0
2025-10-16 14:29:43 | INFO | lift | State: IDLE (sleep)  Current floor: 0
2025-10-16 14:29:45 | INFO | lift | FSM: set_current_state - current_state = IDLE from: None
2025-10-16 14:29:45 | INFO | lift | liftFSM started
2025-10-16 14:29:45 | INFO | lift | FSM:current state IDLE
2025-10-16 14:29:45 | INFO | lift | State: IDLE  current floor: 0
2025-10-16 14:29:45 | INFO | lift | State: IDLE (sleep)  Current floor: 0
2025-10-16 14:30:12 | INFO | lift | FSM: set_current_state - current_state = IDLE from: None
2025-10-16 14:30:12 | INFO | lift | liftFSM started
2025-10-16 14:30:12 | INFO | lift | FSM:current state IDLE
2025-10-16 14:30:12 | INFO | lift | State: IDLE  current floor: 0
2025-10-16 14:30:12 | INFO | lift | State: IDLE (sleep)  Current floor: 0
2025-10-16 14:33:09 | INFO | lift | Lift wake up from the sleep current floor is 0
2025-10-16 14:33:09 | INFO | lift | State: IDLE  current floor: 0
2025-10-16 14:33:09 | INFO | lift | FSM:current state MOVING-UP
2025-10-16 14:33:09 | INFO | lift | Moving up from floor 0
2025-10-16 14:33:11 | INFO | lift | Moving up from floor 1
2025-10-16 14:33:13 | INFO | lift | Moving up from floor 2
2025-10-16 14:33:15 | INFO | lift | Moving up from floor 3
2025-10-16 14:33:17 | INFO | lift | Moving up from floor 4
2025-10-16 14:33:19 | INFO | lift | Reached floor ===========================================>5
2025-10-16 14:33:19 | INFO | lift | FSM:current state WAITING
2025-10-16 14:33:19 | INFO | lift | Waiting at floor 5
2025-10-16 14:33:21 | INFO | lift | FSM:current state IDLE
2025-10-16 14:33:21 | INFO | lift | State: IDLE  current floor: 5
2025-10-16 14:33:21 | INFO | lift | FSM:current state MOVING-UP
2025-10-16 14:33:21 | INFO | lift | Moving up from floor 5
2025-10-16 14:33:23 | INFO | lift | Moving up from floor 6
2025-10-16 14:33:25 | INFO | lift | Moving up from floor 7
2025-10-16 14:33:27 | INFO | lift | Moving up from floor 8
2025-10-16 14:33:29 | INFO | lift | Moving up from floor 9
2025-10-16 14:33:31 | INFO | lift | Reached floor ===========================================>10
2025-10-16 14:33:31 | INFO | lift | FSM:current state WAITING
2025-10-16 14:33:31 | INFO | lift | Waiting at floor 10
2025-10-16 14:33:33 | INFO | lift | FSM:current state IDLE
